root,filterOff,HeaderCompressionOff,mtOff,CompressionMethod,LZMA,LZMA2,PPMd,BZip2,Deflate,tmOff,Files,BlockSize,x,cpu_load_fixed(%;<),cpu_load_bm(%;<),energy_consumption_fixed(Ws;<),energy_consumption_bm(Ws;<),compression_size(kB;<),run_time(s;<)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2269569944453665,35.86012277642419,8860.4003024894,1211.33207934644406,71113559.90367272,33714.94828133443
0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0,-7.5246473646606304,0.0,0.0,-0.0,5912.608563682951
0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.8448541617395904,-0.0,-392.65563768811126,-968.8744328095792,-0.0,-27612.81790549063
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.1664227648659193,10.466985502356119,350.38165676995123,156.56145594436873,0.0,-0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04661447599838877,-0.0,1.8322019450642377,299.0061086347188,14175875.012217546,18580.827867759268
0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.0,-5.0880822476807174e-15,0.0,0.0,-0.0,6.729836786265695e-11
0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-149.7708966065491
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,1113.2777185448638,0.0,52224.2057829427
0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,-45.58879424055281,-0.0,-1505.0240067789393
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.011653618999601831,5.565089958400781e-14,0.45805048626751166,0.0,0.0,-0.0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0029134047499022797,-0.0,0.11451262156688852,127.76251625797019,2.5008941863800246e-08,6133.048359097439
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,18.260827114991848,0.0,1028.4498560708494
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0010751214007876037,0.028197964237093184,-0.2957586745432742,-0.9358495066490627,-74296.06561910226,-32.16593543447693
0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.9076664687255203e-05,0.00035507626155931843,-0.004338644373968688,-0.009307130729325928,-1033.4847530201764,-0.24881685589544977
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9562300604259008,-0.390140159376969,201.75716164916392,494.84386930118865,-3233582.1841980238,14666.964757021102
