root,compressed_script,encryption,crypt_aes,crypt_blowfish,transaction_control,txc_mvlocks,txc_mvcc,txc_locks,table_type,memory_tables,cached_tables,small_cache,large_cache,logging,detailed_logging,no_write_delay,small_log,energy_consumption(Ws;<),run_time(s;<),cpu_load(%;<)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88643204194815,262.7674294695168,1.8143897622051424
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6331668688135631,47.537174116412054,2.0650968988460483
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.009423879985087149,-0.027519152550028597,-0.0004629180236316864
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.9903571507557679,-0.3121676823715776
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.46169345357318475,0.06545340935341187,0.002867700231645775
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.35428277627688554,-0.0,-0.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6839584020416247,0.06215262445808365
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03830531456998893,0.0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006466601163442607,0.34572370127525753,0.015984050308955968
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.866688368167539e-14,0.04973828166444796,0.01096628615591234
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.056737795109320706,0.12289856873558762,0.08888206045254904
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5686258824279178,-0.0,-0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02943928619045663,0.0,-0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.056007960400561045,0.0,0.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18708934361119375,18.497337036170855,0.7045083143306824
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0232361443431311
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01754452360951129,0.0,0.0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004093493209174511,4.895343389913856e-13,0.0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.630919734009361,170.92837771693138,6.783696761830342
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,4.602072599247841,0.17878533732566318
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1118855568979562,-0.0,-0.0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.003497525980356981,-1.0362081563168124e-15,-0.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-10.369662742680342,-0.4319069533733614
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.05390489507210384,0.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.006301609336650346,-0.0,-0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.008017648589719584,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.015513756140872349,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.006811691390713982,0.0,0.0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.00043804746902535014,-1.4802973661668749e-15,-0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.009170902810628108,0.0,-0.0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.0,-0.007934998692149975,-0.000398451085067943
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0103317982057509,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00041220683950964835,0.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.03749420316353214,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.005446839518568004,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.005886347198360378,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.32454907620770534,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4592396063392188,0.3230600702113668,0.011017425154353276
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.009669899677187054,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.15760530359023814,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.04065003198927075,-0.0,-0.0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.013616715587105314,0.0,0.0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04395896280407789,0.0,0.0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.45523714098652696,0.0,0.0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.028315054236237407,0.0,0.0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.019469750850691574,0.0,0.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.05026061863547383,-0.0,-0.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07497029641452464,0.0,0.0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.3350857113726071,0.02376084238421944
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.08997646179743299,0.0,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22336214037898042,0.0,0.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.06247545690093744,0.0,0.0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.004443979523615009,0.0,0.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3281201264205633,-0.0,-0.0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.005144881014916581,0.0,0.0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.2100587511932363,0.0,0.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.013580220577592778,0.003035467618629377,0.0031331808869925976
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0012481052502902356,-0.0,-0.0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.00405242617421793,-0.0,-0.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.013216966527904125,0.0,0.0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.07350035978773393,0.38741540166807487,0.00833990596841713
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.09129453848015888,0.0,0.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.13243843769009891,0.0,0.0
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.02509504338685983,-0.0,-0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.008266122646413061,0.0,-0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0024883984947044182,0.0,0.0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.005359821706230017,-0.0,-0.0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.004012088375759214,0.0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.00033785697529035817,0.0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0021635761812244794,0.008045126313477782,0.00019525071627413126
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.332032630302028,-0.0,-0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.13923744278996555,0.0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.0009849373567053891,0.0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.017781745795294603,-0.0,-0.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.014886283932910646,0.0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3448864426988348,0.0,0.0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.010139897486035212,0.0,-0.0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.00993170399458768,9.052363208030619e-05
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.01553034485393654,-0.0,-0.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009897754637659144,-0.0,-0.0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.012838467246105054
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.03798375670404977,0.0,0.0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.045378474731473245,0.24060618627367134,0.002889179994382999
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.03979052010622801,-0.0,-0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0203294108198991,-0.0,-0.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.09541865263975345,-0.0,-0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.04400486337657367,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.5943711180185115,-0.0,-0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.010634149395894745,-0.0,-0.0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.1505024143910411,0.0,-0.0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0027836517509906918,0.0,-0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.18535123943449983,0.0,0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.0009173286163531215,0.0,0.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.0001473196315551021,-0.0,-0.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.05356715926532142,-0.0,-0.0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.29793972846665984,8.82616996326022,0.36606402627085155
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1.3636042825825125,0.06829314219022756
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.12235897699508862,0.6155563421090972,0.02135931973485934
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.05845177624485733,-0.0,-0.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,4.936051604763218,0.20128686916992067
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.013574992257574834,-0.0,-0.0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,-20.65771792671146,-0.8529234717781934
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.012245980244880616,-0.0,-0.0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0,0.357840822938316,0.015561240445569072
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.009131131664204742,-0.0,-0.0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.040890950485649086,-0.0,-0.0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.5606377461584678,0.028551936763784678
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0032181544417097282,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.07039957294517005,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.08443975444278908,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.0,-1.4764329707835269,-0.04255247817698849
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.0,-1.4479203262508686,-0.032361439821850316
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.0,0.09444194366101398,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.11494724252356021,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.07139735101927028,-0.0,-0.0
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0008753746734918476,0.0,0.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.0050807445660323355,-0.0,0.0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.0,-0.03644478755881156,-0.0013713329142536845
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.055988634378460335,0.0,-0.0
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.0,-0.34807768832159663,-0.019341816100312464
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.009827842140738048,0.0593998136195637,0.006123804892585758
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-0.015614472768066061,-0.0,-0.0
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.00014401765518887337,1.578983857244667e-15,1.2061682242841206e-16
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.2382653258542079,0.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.022635066425653747,0.010987402632096407,0.001033606119694525
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.020867492256544076,0.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.002444291465539903,-0.0,-0.0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.00013952022706099633,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0007231793615263976,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.03076417129535189,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.03569698252766389,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.013743903754900222,-0.0,0.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-0.0011241816587669318,-0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.3026223575959383,0.0027638446672574096
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.06601632255423963,-0.0,-0.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.010702112619511681,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.0,-1.1947651174782354,-0.03484398561587548
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.0,-0.7896860789646266,-0.024110518318009193
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.01272058065501994,0.0,-0.0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.03993810647055067,0.0,0.0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-0.008245601538059954,-0.0,-0.0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00024204912691646227,0.03266136871547586,0.0010204017656291814
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.012529271619331995,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.010850655507049285,0.004708886842325098,0.0010925756459073811
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0007701502973192885,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.0010300133487531498,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-0.0003017849270790366,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.09451479277392816,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.15652471874379273,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.009227709041756583,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.001530220447331662,1.2030353198054606e-15,0.00044362486710430594
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.004493930238654348,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.00020779919545330813,-0.0,-0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.0,0.6937586016234081,0.03130606697680784
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0006982092650636121,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-0.4365597996034304,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0001968741002771806,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.10067725458237267,-0.2801703056083816,-0.04009593642906508
